cnpj,cvm_code,root,company,trading_name,ticker
91.983.056/0001-69,7870,KEPL,KEPLER WEBER S.A.,KEPLER WEBER,KEPL3
89.637.490/0001-45,12653,KLBN,KLABIN S.A.,KLABIN S/A,KLBN11
89.637.490/0001-45,12653,KLBN,KLABIN S.A.,KLABIN S/A,KLBN3
89.637.490/0001-45,12653,KLBN,KLABIN S.A.,KLABIN S/A,KLBN4
26.462.693/0001-28,25062,LAVV,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVVI,LAVV3
16.670.085/0001-55,19739,RENT,LOCALIZA RENT A CAR S.A.,LOCALIZA,RENT3
09.041.168/0001-10,23272,LOGG,LOG COMMERCIAL PROPERTIES,LOG COM PROP,LOGG3
42.278.291/0001-24,20710,LOGN,LOG-IN LOGISTICA INTERMODAL S.A.,LOG-IN,LOGN3
61.189.288/0001-89,22055,AMAR,MARISA LOJAS S.A.,LOJAS MARISA,AMAR3
92.754.738/0001-62,8133,LREN,LOJAS RENNER S.A.,LOJAS RENNER,LREN3
08.078.847/0001-09,20370,LPSB,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,LOPES BRASIL,LPSB3
89.463.822/0001-12,20060,LUPA,LUPATECH S.A.,LUPATECH,LUPA3
02.351.877/0001-52,24910,LWSA,LWSA S.A.,LWSA,LWSA3
07.206.816/0001-15,20338,MDIA,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,M.DIASBRANCO,MDIA3
47.960.950/0001-21,22470,MGLU,MAGAZINE LUIZA S.A.,MAGAZ LUIZA,MGLU3
61.065.298/0001-02,8397,MGEL,MANGELS INDUSTRIAL S.A.,MANGELS INDL,MGEL4
88.611.835/0001-29,8451,POMO,MARCOPOLO S.A.,MARCOPOLO,POMO3
88.611.835/0001-29,8451,POMO,MARCOPOLO S.A.,MARCOPOLO,POMO4
03.853.896/0001-40,20788,MBRF,MARFRIG GLOBAL FOODS S.A.,MARFRIG,MBRF3
16.676.520/0001-59,25690,MATD,HOSPITAL MATER DEI S/A,MATER DEI,MATD3
